review,rating,date,bank,source,cleaned_review,theme
in this update why screenshoot is disabled now it's not working,1,2025-03-28,Commercial Bank of Ethiopia,Google Play,in this update why screenshoot is disabled now its not working,Other
"realy I donot seen like this application ! fast ,safe ande confortable",5,2025-03-28,Commercial Bank of Ethiopia,Google Play,realy i donot seen like this application  fast safe ande confortable,Other
Excellent but needed upgrading!,5,2025-03-28,Commercial Bank of Ethiopia,Google Play,excellent but needed upgrading,Other
goods app!! pleace update this apps??,4,2025-03-28,Commercial Bank of Ethiopia,Google Play,goods app pleace update this apps,Other
"The latest update prevents taking screenshots, which is really annoying! please allow us to take screenshots! we need it for evidence (particularly, in case of transfer failure!).",1,2025-03-27,Commercial Bank of Ethiopia,Google Play,the latest update prevents taking screenshots which is really annoying please allow us to take screenshots we need it for evidence particularly in case of transfer failure,Other
Fantastic app! I appreciate it very much,5,2025-03-27,Commercial Bank of Ethiopia,Google Play,fantastic app i appreciate it very much,Other
Convenient app,5,2025-03-27,Commercial Bank of Ethiopia,Google Play,convenient app,Other
Doesn't work properly. It crashes some many times. commercial bank of Ethiopia not only the application but also sending money to own CBE birr doesn't get your money in your bank account. forcefully you must wait 3-5 days to get your money back to your account. walk up CBE the world is going to decentralized finance.,1,2025-03-26,Commercial Bank of Ethiopia,Google Play,doesnt work properly it crashes some many times commercial bank of ethiopia not only the application but also sending money to own cbe birr doesnt get your money in your bank account forcefully you must wait 35 days to get your money back to your account walk up cbe the world is going to decentralized finance,Other
It crashes multiple times everytime you launch it. Fix it. Edit: crash fixed but screenshots has been disabled. I don't know who thought this was a good idea.,1,2025-03-26,Commercial Bank of Ethiopia,Google Play,it crashes multiple times everytime you launch it fix it edit crash fixed but screenshots has been disabled i dont know who thought this was a good idea,Other
why why u remove screen shoot,2,2025-03-26,Commercial Bank of Ethiopia,Google Play,why why u remove screen shoot,Other
"I fails mid transaction, No screenshot, download don't work, link shared not working bring back the old app this is usless",1,2025-03-26,Commercial Bank of Ethiopia,Google Play,i fails mid transaction no screenshot download dont work link shared not working bring back the old app this is usless,Other
very nice one,5,2025-03-26,Commercial Bank of Ethiopia,Google Play,very nice one,Other
good application,5,2025-03-25,Commercial Bank of Ethiopia,Google Play,good application,Other
problem solver and the best fast app,5,2025-03-25,Commercial Bank of Ethiopia,Google Play,problem solver and the best fast app,Other
Please bring back the screenshot option. The screenshot download option takes like 15 second appear in gallery and most people don't know about it.,3,2025-03-25,Commercial Bank of Ethiopia,Google Play,please bring back the screenshot option the screenshot download option takes like 15 second appear in gallery and most people dont know about it,Other
you must added dark mode options,3,2025-03-25,Commercial Bank of Ethiopia,Google Play,you must added dark mode options,Other
Thank you,5,2025-03-25,Commercial Bank of Ethiopia,Google Play,thank you,Other
cbe,5,2025-03-25,Commercial Bank of Ethiopia,Google Play,cbe,Other
very nice and convenient app,5,2025-03-24,Commercial Bank of Ethiopia,Google Play,very nice and convenient app,Other
there are to many bugs app keeps crashi ng and the update file seems to keep getting worse,2,2025-03-24,Commercial Bank of Ethiopia,Google Play,there are to many bugs app keeps crashi ng and the update file seems to keep getting worse,Other
Great experience so far but why this app ain't working while developer mode is on?,4,2025-03-24,Commercial Bank of Ethiopia,Google Play,great experience so far but why this app aint working while developer mode is on,Other
why did the screen shot stopped ?????,3,2025-03-24,Commercial Bank of Ethiopia,Google Play,why did the screen shot stopped ,Other
it's genuine app..,5,2025-03-24,Commercial Bank of Ethiopia,Google Play,its genuine app,Other
okay,5,2025-03-24,Commercial Bank of Ethiopia,Google Play,okay,Other
it's a very good application but sometimes it takes a long time to synchronize,4,2025-03-23,Commercial Bank of Ethiopia,Google Play,its a very good application but sometimes it takes a long time to synchronize,Other
commercial dank...,5,2025-03-23,Commercial Bank of Ethiopia,Google Play,commercial dank,Other
it's very good,5,2025-03-23,Commercial Bank of Ethiopia,Google Play,its very good,Other
to getting money,5,2025-03-23,Commercial Bank of Ethiopia,Google Play,to getting money,Other
it's not working,3,2025-06-05,Bank of Abyssinia,Google Play,its not working,Other
"Hello, Im facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says BoaMobile closed because this app has a bug. I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,Bank of Abyssinia,Google Play,hello im facing a problem with the boa mobile app every time i enter my phone number and password the app crashes and shows an error that says boamobile closed because this app has a bug i tried updating reinstalling and clearing cache but nothing worked please fix this bug in the next update i really need access to my account thank you,User Interface & Experience
exceptional,5,2025-06-03,Bank of Abyssinia,Google Play,exceptional,Other
BoA Mobile good bank,5,2025-06-02,Bank of Abyssinia,Google Play,boa mobile good bank,Other
this is worest app 24/7 loading,1,2025-06-01,Bank of Abyssinia,Google Play,this is worest app 247 loading,Other
This App is not interest for Android phone Please update it .,1,2025-06-01,Bank of Abyssinia,Google Play,this app is not interest for android phone please update it ,Other
BoA system is confartable,5,2025-06-01,Bank of Abyssinia,Google Play,boa system is confartable,Other
very nice Abyssinia bank is choice all,5,2025-05-31,Bank of Abyssinia,Google Play,very nice abyssinia bank is choice all,Other
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,Bank of Abyssinia,Google Play,this app for me  is a waste of time it doesnt work  i cant even long in and it really piss me off fix the problem,Other
Good service.,3,2025-05-25,Bank of Abyssinia,Google Play,good service,Other
the app crush frequently,1,2025-05-24,Bank of Abyssinia,Google Play,the app crush frequently,Other
You guys keeps getting worst,1,2025-05-22,Bank of Abyssinia,Google Play,you guys keeps getting worst,Other
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Cant log in, cant transfer money, cant even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path",1,2025-05-21,Bank of Abyssinia,Google Play,this app is a joke it crashes more than it works takes forever to load and half the features are just decorative at this point cant log in cant transfer money cant even check my balance without it bugging out to the developer are you actually trying to make this work or is this some kind of social experiment to test our patience did you build this in your sleep because it definitely looks like it if this is your idea of a functional app maybe consider a different career path,Other
BoA,2,2025-05-20,Bank of Abyssinia,Google Play,boa,Other
but not opening on android,4,2025-05-19,Bank of Abyssinia,Google Play,but not opening on android,Other
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,Bank of Abyssinia,Google Play,worst app ever totally unreliable and it didnt work at all for the last 4 months,Other
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,Bank of Abyssinia,Google Play,this app does no work on samsung a51 it just gives a preview of the logo,Other
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,Bank of Abyssinia,Google Play,i entered incorrect security question by mistake boa app lock pin forever why is there no other options  i contacted different branchs more then 4times but they didnt able to solve this issue ,Other
liking this application good,5,2025-05-07,Bank of Abyssinia,Google Play,liking this application good,Other
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06,Bank of Abyssinia,Google Play,this app future is good but there is problems with apps to reset and activate it which is difficult even to the branch staffs and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and otp sent not work,Other
it's really good,5,2025-04-23,Bank of Abyssinia,Google Play,its really good,Other
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23,Bank of Abyssinia,Google Play,bad app  it stuck when you open and noting works,Other
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,Bank of Abyssinia,Google Play,the app isnt working after it asked me the password it starts loading but it doesnt open,Other
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,Bank of Abyssinia,Google Play,it keeps showing this pop up to turn off developer options even tho its off i had to turn on and then off to make it work this is a horrible experience and needs a fix asap plus kinda slow,Other
yideg,1,2025-04-18,Bank of Abyssinia,Google Play,yideg,Other
great boa,5,2025-04-10,Bank of Abyssinia,Google Play,great boa,Other
boa of mobile backing,5,2025-04-09,Bank of Abyssinia,Google Play,boa of mobile backing,Other
faster bank of Abissinya,5,2025-04-08,Bank of Abyssinia,Google Play,faster bank of abissinya,Other
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,Bank of Abyssinia,Google Play,i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,Other
it just doesn't work...so frustrating,1,2025-04-07,Bank of Abyssinia,Google Play,it just doesnt workso frustrating,Other
like,5,2025-04-06,Bank of Abyssinia,Google Play,like,Other
it's not work correctly... you must have update it,1,2025-04-06,Bank of Abyssinia,Google Play,its not work correctly you must have update it,Other
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04,Bank of Abyssinia,Google Play,the app gets a considerable improvements like language  qr scanner and unlimited transfers survice but boa please do alot on its fastness and convenient when we login and making a transactions,Other
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04,Bank of Abyssinia,Google Play,after i typed in my password it says successfully logged out and goes back to the first page,Other
good but they don't update enough don't add new things,3,2025-04-04,Bank of Abyssinia,Google Play,good but they dont update enough dont add new things,Other
thank you,5,2025-04-02,Bank of Abyssinia,Google Play,thank you,Other
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01,Bank of Abyssinia,Google Play,it doesnt work period z slowest mobile banking ever i would rather use 815,Other
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31,Bank of Abyssinia,Google Play,after activated the application it not allowed to sign  automatically it is turn off in my phone why ,Other
this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30,Bank of Abyssinia,Google Play,this version is not working for me i cannot even buy card i cannot send money,Other
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29,Bank of Abyssinia,Google Play,it cant actively on initialization it says incorrect otp getting the exact otp,Other
always problematic hardly works,1,2025-03-26,Bank of Abyssinia,Google Play,always problematic hardly works,Other
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25,Bank of Abyssinia,Google Play,considering the fact the bank is huge this app really bad you could do better,Other
"worst app and Bank ever u be ashamed, scammer",1,2025-03-24,Bank of Abyssinia,Google Play,worst app and bank ever u be ashamed scammer,Other
great BoA,5,2025-03-22,Bank of Abyssinia,Google Play,great boa,Other
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21,Bank of Abyssinia,Google Play,i have went to the bank so many times because i couldnt make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i cant make any transaction with it please work in that,Other
there is no speed,1,2025-03-19,Bank of Abyssinia,Google Play,there is no speed,Other
"For anyone who wants to download it, just don't!!!",1,2025-03-19,Bank of Abyssinia,Google Play,for anyone who wants to download it just dont,Other
wonderful,5,2025-03-19,Bank of Abyssinia,Google Play,wonderful,Other
all worck,5,2025-03-19,Bank of Abyssinia,Google Play,all worck,Other
Loved it,5,2025-03-14,Bank of Abyssinia,Google Play,loved it,Other
Wow,1,2025-03-14,Bank of Abyssinia,Google Play,wow,Other
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,2025-03-12,Bank of Abyssinia,Google Play,edit new bug app not letting me type in my otp codes shameful why does this app not allow me to use it while having developer options on did yall consider that i might perhaps be an actual developer why am i expected to toggle the option on and off just to bank restarting my phone when i do why is the message labled as somthing that will smoothen the experience this is like the most security consultant thing to implement in an app please invest in actual security not this mess,Other
Improved to be the best,5,2025-03-11,Bank of Abyssinia,Google Play,improved to be the best,Other
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,2025-03-11,Bank of Abyssinia,Google Play,decent but there problems sometimes it says error when i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we cant transfer money to others telebirr acc we only can to our self boe dev fix this ,Other
BoA Greqt Ethiopian bank.,5,2025-03-11,Bank of Abyssinia,Google Play,boa greqt ethiopian bank,Other
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,2025-03-10,Bank of Abyssinia,Google Play,the bug is still therethe app crashes every time i try to log in especially in old phones like my galaxy a32,User Interface & Experience
Almost better compared to cbe where it is not qualified for,4,2025-03-09,Bank of Abyssinia,Google Play,almost better compared to cbe where it is not qualified for,Other
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09,Bank of Abyssinia,Google Play,what awesome apps it is very simple to use and more much important apps,Other
Wonderfull app,5,2025-03-08,Bank of Abyssinia,Google Play,wonderfull app,Other
i can't use this app why?,5,2025-03-07,Bank of Abyssinia,Google Play,i cant use this app why,Other
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06,Bank of Abyssinia,Google Play,worst mobile banking app i ever experienced i was blaming other apps but comparing with this theyre too much better it clashes it takes much longer time to login while loading in short its a complete of trash,Other
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,2025-03-05,Bank of Abyssinia,Google Play,bro the worst app made by human kind as a software engineer it make me so sad seeing enterprise as big as boa make apps like this it is a disgrace for our country,Other
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,2025-03-04,Bank of Abyssinia,Google Play,aga b girja miss language of admin afaan oromo  other itoophiyaa languages,Other
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03,Bank of Abyssinia,Google Play,i downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically what unserious bank now i uninstalled the app immediately,Other
It has good features but sometimes it doesn't work...0,1,2025-03-02,Bank of Abyssinia,Google Play,it has good features but sometimes it doesnt work0,Other
Very poor proformance,1,2025-03-01,Bank of Abyssinia,Google Play,very poor proformance,Other
It's not opening. Really frustrating,1,2025-03-01,Bank of Abyssinia,Google Play,its not opening really frustrating,Other
Verry Amazing App from all IB,5,2025-03-01,Bank of Abyssinia,Google Play,verry amazing app from all ib,Other
Not working on this days,1,2025-02-26,Bank of Abyssinia,Google Play,not working on this days,Other
Thank you BoA,5,2025-02-23,Bank of Abyssinia,Google Play,thank you boa,Other
best banking app in the wworld,5,2025-02-22,Bank of Abyssinia,Google Play,best banking app in the wworld,Other
Nice app and it's easy to use,5,2025-02-21,Bank of Abyssinia,Google Play,nice app and its easy to use,Other
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachableit is serious issue!",1,2025-02-15,Bank of Abyssinia,Google Play,please add language in the apps settingamharic afan oromo tigniyaand others sometimes bank to bank transfer is not available through time and even if if it is available not reachableit is serious issue,Other
This is help full i like ittttt,5,2025-02-14,Bank of Abyssinia,Google Play,this is help full i like ittttt,Other
The is not functional at all?,2,2025-02-12,Bank of Abyssinia,Google Play,the is not functional at all,Other
Best bank,5,2025-02-08,Bank of Abyssinia,Google Play,best bank,Other
Make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2025-02-07,Bank of Abyssinia,Google Play,make it easy and convienient to use and perfect for all to high prefrence and choice,Other
I have been using this app for two years.It is amazing.,5,2025-02-01,Bank of Abyssinia,Google Play,i have been using this app for two yearsit is amazing,Other
Good,5,2025-01-31,Bank of Abyssinia,Google Play,good,Other
Sad experience,1,2025-01-30,Bank of Abyssinia,Google Play,sad experience,Other
Always do update and that is annoying,3,2025-01-27,Bank of Abyssinia,Google Play,always do update and that is annoying,Other
"Best app, somehow waiting a few minutes",5,2025-01-23,Bank of Abyssinia,Google Play,best app somehow waiting a few minutes,Other
I can't dijitalize my atm in the apollo app on my phone,1,2025-01-22,Bank of Abyssinia,Google Play,i cant dijitalize my atm in the apollo app on my phone,Other
Whenever I try to sign in app close please fixed it out,2,2025-01-21,Bank of Abyssinia,Google Play,whenever i try to sign in app close please fixed it out,Other
Beter,5,2025-01-21,Bank of Abyssinia,Google Play,beter,Other
Boa,4,2025-01-18,Bank of Abyssinia,Google Play,boa,Other
It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,1,2025-01-18,Bank of Abyssinia,Google Play,its not app its very slow ehhhh why dont you upgrade the app its always zero,Other
Aadan Axmed Barkhadle,5,2025-01-17,Bank of Abyssinia,Google Play,aadan axmed barkhadle,Other
Horrible customer service and app crashes Horrible!!,1,2025-01-15,Bank of Abyssinia,Google Play,horrible customer service and app crashes horrible,User Interface & Experience
I love it,5,2025-01-14,Bank of Abyssinia,Google Play,i love it,Other
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,1,2025-01-13,Bank of Abyssinia,Google Play,it keeps asking me to turn off developer mode even when dev mode is off couldnt use it,Other
Good,5,2025-01-12,Bank of Abyssinia,Google Play,good,Other
Like to much,5,2025-01-11,Bank of Abyssinia,Google Play,like to much,Other
Perfect,5,2025-01-09,Bank of Abyssinia,Google Play,perfect,Other
The best of best,5,2025-01-09,Bank of Abyssinia,Google Play,the best of best,Other
I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,3,2025-01-07,Bank of Abyssinia,Google Play,i was using this app for long time it amazing user friendly ui but the i cant found for get pin button in the app,Other
Great,5,2025-01-04,Bank of Abyssinia,Google Play,great,Other
Fast and suitable for the customers.,5,2025-01-04,Bank of Abyssinia,Google Play,fast and suitable for the customers,Other
Good app and helpful,5,2025-01-03,Bank of Abyssinia,Google Play,good app and helpful,Other
"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",1,2025-01-03,Bank of Abyssinia,Google Play,i will give only one star because it faced with multiple of problems 1 the app is not as fast as the other banks app for eg like cbe 2 the app asks repeatedly to switch off developer options even if it is switched off 3 bank of abyssinias services are interesting but they ignored the issues on the app service 4 most customers gave a complain on the app but no one accept their complain to fix the issue 5 lastly i will not recommend the app unless the issue has been solved asap,Other
By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,1,2025-01-02,Bank of Abyssinia,Google Play,by assessing this you can tell abyssinia bank has no idea what mobile banking is ,Other
It doesn't work at all.,2,2025-01-02,Bank of Abyssinia,Google Play,it doesnt work at all,Other
this app is not available,1,2025-01-02,Bank of Abyssinia,Google Play,this app is not available,Other
Wow what amazing,5,2024-12-30,Bank of Abyssinia,Google Play,wow what amazing,Other
love it,5,2024-12-30,Bank of Abyssinia,Google Play,love it,Other
.......      ::,2,2024-12-30,Bank of Abyssinia,Google Play,      ,Other
Lemn embi yilal??,5,2024-12-30,Bank of Abyssinia,Google Play,lemn embi yilal,Other
It's useless app downgraded.,1,2024-12-29,Bank of Abyssinia,Google Play,its useless app downgraded,Other
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,1,2024-12-27,Bank of Abyssinia,Google Play,why is not letting me access my account the whole point of this app is for me to gey access to my account without physically being at the bank i would give it a zero but a one will suffice to get my point accross,Other
Nice,5,2024-12-26,Bank of Abyssinia,Google Play,nice,Other
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,1,2024-12-24,Bank of Abyssinia,Google Play,when are you going to get rid of this and have a real app that works by far the worst mobile banking app,Other
Not that much bad,3,2024-12-22,Bank of Abyssinia,Google Play,not that much bad,Other
Fine,5,2024-12-21,Bank of Abyssinia,Google Play,fine,Other
The dirtiest application ever seen...,1,2024-12-20,Bank of Abyssinia,Google Play,the dirtiest application ever seen,Other
Nic ap,5,2024-12-19,Bank of Abyssinia,Google Play,nic ap,Other
The forest app ever,1,2024-12-19,Bank of Abyssinia,Google Play,the forest app ever,Other
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",1,2024-12-19,Bank of Abyssinia,Google Play,i love boa more than anyone but they are cursed when it comed to mobile banking even though this ine is hetter it still scks it will ask me to turn off developer options other wise it wont work i use cbe awash birr tekebirr dashen bank and others but non of them asked me this why only boa please improve your mobile banking be competitive,Other
Bank of abissena,1,2024-12-17,Bank of Abyssinia,Google Play,bank of abissena,Other
"Easy and sooo simple to use it, also its easy to stole someones money using the app",3,2024-12-16,Bank of Abyssinia,Google Play,easy and sooo simple to use it also its easy to stole someones money using the app,Other
GOOD,5,2024-12-15,Bank of Abyssinia,Google Play,good,Other
The worst banking app ever. Never works!,1,2024-12-14,Bank of Abyssinia,Google Play,the worst banking app ever never works,Other
Poorly functioning app,3,2024-12-13,Bank of Abyssinia,Google Play,poorly functioning app,Other
Very nice,5,2024-12-13,Bank of Abyssinia,Google Play,very nice,Other
Your system is the worst you should do better,2,2024-12-11,Bank of Abyssinia,Google Play,your system is the worst you should do better,Other
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,1,2024-12-10,Bank of Abyssinia,Google Play,it has been a while since you guys started giving the mobile app service but still couldnt get it to work im sure you know that it doesnt work already but not sure if youre lazy or incompetent to fix it you are losing business because of this complacency will have consequences,Other
"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",4,2024-12-08,Bank of Abyssinia,Google Play,this is the best app many features are awesome but it should work without the need to turn off the developer options im tired of having to constantly switch the developer options off and on ive been expressing my struggles about this i have precious settings enabled in the developer options and to open the app boa app i have to turn them off please help us abyssinia bank i hope you can provide an update soon,Other
"Im giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst Ive used. I hope improvements are made to enhance the user experience.",1,2024-12-07,Bank of Abyssinia,Google Play,im giving this app one star because there are no options below that my experience has been incredibly frustrating due to the extremely long loading times and the app even closes automatically at times people choose mobile banking for its convenience but this app is far too timeconsuming making it the worst ive used i hope improvements are made to enhance the user experience,Other
Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,1,2024-12-06,Bank of Abyssinia,Google Play,very unprofessional and mischievous bank in my opinion i have had several occasions but recently i used abyssinia card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but i learned yesterday that since it has been 3 months the bank has decided to include it in their income how absurd if you can avoid this bank,Other
It doesn't work on my 2 devices A05 and A34,1,2024-12-02,Bank of Abyssinia,Google Play,it doesnt work on my 2 devices a05 and a34,Other
It's better to say I don't use boa rather than pulling your phone out and opening this app,1,2024-12-01,Bank of Abyssinia,Google Play,its better to say i dont use boa rather than pulling your phone out and opening this app,Other
My attention is very important because it will be the most difficult time for me,5,2024-11-30,Bank of Abyssinia,Google Play,my attention is very important because it will be the most difficult time for me,Other
"I have a worst experience while using this mobile application through out the year. Most of the time it fails to ""Login"" or automatically closed the app. And also it takes so much loading time (5 minutes +) trying to access the internal services. Sometimes also while transferring within and to other bank also fails. So, BOA please fix your app.",1,2024-11-29,Bank of Abyssinia,Google Play,i have a worst experience while using this mobile application through out the year most of the time it fails to login or automatically closed the app and also it takes so much loading time 5 minutes  trying to access the internal services sometimes also while transferring within and to other bank also fails so boa please fix your app,Other
I don't know why but your apps start out great then all of a sudden don't work,1,2024-11-28,Bank of Abyssinia,Google Play,i dont know why but your apps start out great then all of a sudden dont work,Other
This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,1,2024-11-28,Bank of Abyssinia,Google Play,this application is losing major factions on a daily basis i can count how many times i have used this app it is completely useless and disappointing if i am not going to use it in times of need then i dont see the point,Other
exellent digital transaction of money,5,2024-11-27,Bank of Abyssinia,Google Play,exellent digital transaction of money,Other
The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,1,2024-11-26,Bank of Abyssinia,Google Play,the latest update has stopped android 9 phones not to open this app never work properly since i started using it,Other
Great,5,2024-11-25,Bank of Abyssinia,Google Play,great,Other
Money,5,2024-11-24,Bank of Abyssinia,Google Play,money,Other
It needs more improvment,2,2024-11-24,Bank of Abyssinia,Google Play,it needs more improvment,Other
Hey Google,5,2024-11-21,Bank of Abyssinia,Google Play,hey google,Other
ab,3,2024-11-20,Bank of Abyssinia,Google Play,ab,Other
Ademtahir,5,2024-11-20,Bank of Abyssinia,Google Play,ademtahir,Other
Please this app on my android phone,3,2024-11-20,Bank of Abyssinia,Google Play,please this app on my android phone,Other
GOAT,5,2024-11-19,Bank of Abyssinia,Google Play,goat,Other
"Your app doesn't match your bank, the app is disaster, super slow. Please learn something from tele birr app.",1,2024-11-19,Bank of Abyssinia,Google Play,your app doesnt match your bank the app is disaster super slow please learn something from tele birr app,Other
Fast and reliable,5,2024-11-18,Bank of Abyssinia,Google Play,fast and reliable,Other
"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",1,2024-11-17,Bank of Abyssinia,Google Play,the worst app update ever why would you include the developer option off thing here why do you care it is my phone my money right that is the reason why i switched to other banks so either turn it off or everyone will discontinue their business one by one,Other
One of the poorest mobile banking system,1,2024-11-13,Bank of Abyssinia,Google Play,one of the poorest mobile banking system,Other
Oene,5,2024-11-12,Bank of Abyssinia,Google Play,oene,Other
i find it interesting specially in reciept downloading,1,2024-11-12,Bank of Abyssinia,Google Play,i find it interesting specially in reciept downloading,Other
it good,5,2024-11-12,Bank of Abyssinia,Google Play,it good,Other
"This app crashes everytime, please fix it",1,2024-11-12,Bank of Abyssinia,Google Play,this app crashes everytime please fix it,User Interface & Experience
star   i dont recomend to use this app also the bank,1,2024-11-12,Bank of Abyssinia,Google Play,star   i dont recomend to use this app also the bank,Other
I need a support the app is not working,5,2024-11-12,Bank of Abyssinia,Google Play,i need a support the app is not working,Other
Bast bank of ethiopia,5,2024-11-12,Bank of Abyssinia,Google Play,bast bank of ethiopia,Other
very slow app.     software app.       app,1,2024-11-12,Bank of Abyssinia,Google Play,very slow app     software app       app,Other
"thank you for your social services like, vertual banking, non touch ATM, Cadrless and withdrwal with out passbook...",5,2024-11-12,Bank of Abyssinia,Google Play,thank you for your social services like vertual banking non touch atm cadrless and withdrwal with out passbook,Other
The worst App i have never seen like this before,1,2024-11-12,Bank of Abyssinia,Google Play,the worst app i have never seen like this before,Other
Wweeeer,4,2024-11-12,Bank of Abyssinia,Google Play,wweeeer,Other
Infinx,5,2024-11-12,Bank of Abyssinia,Google Play,infinx,Other
Great service,5,2024-11-12,Bank of Abyssinia,Google Play,great service,Other
